Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Abstract
Pathways to improve early intervention for eating disorders: Findings from a systematic review and meta-analysis.,Radunz M; Ali K; Wade TD,"OBJECTIVE: Treatment-seeking rates among eating disorder (ED) populations are relatively low, with only one in four individuals seeking help. Previous research has identified many factors that might be associated with help-seeking in EDs, but to date no review has investigated the quantitative association between these factors and actual help-seeking behavior. The aim of the current review was to synthesize the relevant quantitative literature on factors (i.e., perceived barriers, characteristics associated with treatment seeking, demographic variables) associated with help-seeking using meta-analytic strategies, as well as provide recommendations on future early intervention research strategies to promote early help-seeking. METHOD: Overall, 19 studies were included, identifying 141 perceived barriers (e.g., stigma) or individual characteristics (e.g., BMI, duration of illness) and 56 demographic variables (e.g., ethnicity), which were synthesized into 24 unique variables. RESULTS: Less help-seeking was predicted by higher levels of denial and less perceived ability of others to provide help. DISCUSSION: Given the small number of studies these results should be considered preliminary. Future studies should consider barriers to help-seeking when creating early intervention approaches. To improve help-seeking rates we suggest the use of targeted psychoeducational materials and co-design with people with lived experience when developing new strategies. PUBLIC SIGNIFICANCE: The present study addresses a significant gap in the literature by synthesizing factors associated with help-seeking, with the aim of informing early intervention strategies to promote early help-seeking in eating disorder populations. Denial of illness and perceived inability of others to provide help were associated with lower help-seeking. Future studies should consider barriers to help-seeking and co-design with people with lived experience when creating new early intervention strategies.",2023,Feb,Int J Eat Disord,56,2,314-330,,10.1002/eat.23845,36346008,#274,Radunz 2023,,ED phenomenology; Psychological treatment,
Is self-compassion relevant to the pathology and treatment of eating and body image concerns? A systematic review and meta-analysis.,Turk F; Waller G,"Eating disorders are severe mental health conditions, with substantial consequences for health and quality of life. Such disorders are strongly associated with body image concerns. It is important to consider treatments that might enhance our ability to treat such cases. Recently, there has been a growing body of research on self-compassion in relation to such problems. However, we are not yet clear about the extent of such effects, given the range of studies and methodologies used. Therefore, a systematic literature review was carried out using four key databases. Meta-analysis was used to reach conclusions about the size of the effects and moderators. Random-effects meta-analyses were conducted with 59 studies. Higher self-compassion was associated with lower eating pathology, reduced body image concerns, and greater positive body image, with medium to strong effect sizes (respectively, r = -0.34, r = -0.45, r = 0.52). Furthermore, self-compassion interventions for eating pathology and body image were effective, and superior to control groups (respectively, g = 0.58, g = 0.39). These findings support the role of self-compassion in understanding and addressing eating and body image concerns. Self-compassion appears to be an adaptive emotion regulation strategy in eating disorders and body image.",2020,Jul,Clin Psychol Rev,79,,101856,,10.1016/j.cpr.2020.101856,32438284,#277,Turk 2020,"Euna Lee (2025-08-01 04:55:35)(Select): mixed ED sample
; ",ED is a sub-group analysis only; Mixed ED sample,
E-mental health interventions for the treatment and prevention of eating disorders: An updated systematic review and meta-analysis.,Linardon J; Shatte A; Messer M; Firth J; Fuller-Tyszkiewicz M,"OBJECTIVES: E-mental health (digital) interventions can help overcome existing barriers that stand in the way of people receiving help for an eating disorder (ED). Although e-mental health interventions for treating and preventing EDs have been met with enthusiasm, earlier reviews brought attention to poor quality of evidence, and offered solutions to enhance their evidence base. To assess developments in the field, we conducted an updated meta-analysis on the efficacy of e-mental health interventions for treating and preventing EDs, paying attention to whether trial quality and outcomes have improved in recent trials. We also assessed whether user-centered design principles have been implemented in existing digital interventions. METHOD: Four databases were searched for RCTs of digital interventions for treating and preventing EDs. Thirty-six RCTs (28 prevention- and 8 treatment-focused) were included. RESULTS: Some evidence that study quality improved in recent prevention-focused trials was found. Few trials involved the end-user in the design or development stage of the intervention. Issues with intervention engagement were noted, and 1 in 4 participants dropped out from prevention- and treatment-focused trials. Digital interventions were more effective than control conditions in reducing established risk factors and symptoms in prevention- (g's = 0.19 to 0.43) and treatment-focused trials (g's = 0.29 to 0.69), respectively. Effect sizes have not increased in recent trials. Few trials compared a digital intervention with a face-to-face intervention. Whether digital interventions can prevent ED onset is unclear. CONCLUSION: Digital interventions are a promising approach to ED treatment and prevention, but improvements are still needed. Three key recommendations are provided. (PsycInfo Database Record (c) 2020 APA, all rights reserved).",2020,Nov,J Consult Clin Psychol,88,11,994-1007,,10.1037/ccp0000575,32852971,#280,Linardon 2020,,Prevention; Treatment; digital/tech,
Effectiveness of written emotional disclosure interventions for eating disorders: a systematic review and meta-analysis.,Wang Y; Xu T; Tao Y; Cai X,"BACKGROUND: Eating disorders are illnesses that can seriously impair the health and wellbeing of patients. Written emotional disclosure has been recognized as a therapeutic technique that may be helpful in aiding patients' emotional and psychological adjustment. However, it is unclear what favorable effects eating disorder patients can derive from written emotional disclosure therapy. This study aimed to review the effectiveness of written emotional disclosure in treating eating disorders using a systematic review and meta-analysis. OBJECTIVE: This study was to examine the validity of written emotional disclosure intervention for eating disorders as well as to provide guidelines for the management of eating disorders in patients. METHODS: Researchers independently developed inclusion and exclusion criteria according to the PICOS principle and systematically searched English literature databases such as PubMed, Medline, Web of Science, Cochrane Library, CINAHL, EBSCO, Embase, and so on, from the time of library construction to December 2023. Cochrane Risk of Bias version 2 (RoB 2) was used to evaluate studies included in this review. All the studies included in this study were randomized controlled trials. Accurate information was extracted and then subjected to meta-analysis with Review Manager 5.4 software. The credibility of the evidence of the studies was assessed using GRADEprofiler 3.6 software. RESULTS: The final analysis included 13 randomized controlled trials involving 1,444 participants. The written emotional disclosure intervention can decrease eating disorder symptoms scores (SMD = -0.20, 95% CI [-0.34, -0.05], Z = 2.59, p = 0.01), body dissatisfaction scores (SMD = 0.37, 95% CI [0.21, 0.52], Z = 4.59, p < 0.001), and thin ideal internalization score (SMD = 0.42, 95% CI [0.22, 0.62], Z = 4.12, p < 0.001). Anxiety scores (MD = 0.43, 95% CI [-0.77, 1.63], Z = 0.70, p = 0.48), depression scores (MD = -0.66, 95% CI [-1.78, 0.47], Z = 1.14, p = 0.25) and negative affect scores (SMD = 0.51, 95% CI [-0.24, 1.27], Z = 1.33, p = 0.18), with no statistically significant differences. CONCLUSION: In conclusion, this systematic review analyzed the existing literature and showed that written emotional disclosure intervention is effective in alleviating eating disorder symptoms and patients' body image problems, but there is insufficient evidence in alleviating depression, anxiety, and negative affect. However, the evidence is limited. Therefore, more research is needed in the future to further enrich the evidence for written emotional disclosure intervention in the field of eating disorders. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/prospero/,CRD42023445577.",2024,,Front Nutr,11,,1476956,,10.3389/fnut.2024.1476956,39720356,#282,Wang 2024,,Mixed ED sample; treatment - behavioral,
The impact of weight loss interventions on disordered eating symptoms in people with overweight and obesity: a systematic review & meta-analysis.,Tsompanaki E; Koutoukidis DA; Wren G; Tong H; Theodoulou A; Wang D; Park RJ; Jebb SA; Aveyard P,"BACKGROUND: It is unclear whether weight loss interventions worsen disordered eating in people living with overweight/obesity. We aimed to systematically evaluate the association between weight loss interventions and disordered eating. METHODS: Six databases were searched from inception until September 2024. Trials of weight loss interventions in people with overweight/obesity were included if they reported a validated score for disordered eating on either the Eating Disorder Examination Interview or the Eating Disorder Examination Questionnaire pre- and post-intervention. Interventions included behavioural weight loss programmes (BWL) and pharmacotherapy licenced for weight loss, with or without concurrent psychological support, provided for at least 4 weeks. Pooled standardised mean differences (SMD) in scores of disordered eating were calculated using random effects meta-analyses. Risk of bias (RoB) was assessed using the Cochrane RoB 2 tool and the Newcastle-Ottawa scale for randomised and single-arm trials, respectively (PROSPERO ID: CRD42023404792). FINDINGS: Thirty-eight studies with 66 eligible arms (61 interventions: 29 BWL, 11 BWL + pharmacotherapy, 20 BWL + psychological intervention, 1 pharmacotherapy + psychological intervention) and 3364 participants in total were included. The mean weight change was -4.7 kg (95% CI: -5.7, -3.7). Compared with baseline, disordered eating scores improved by -1.47 SMD units (95% CI: -1.67, -1.27, p < 0.001, I(2) = 94%) at intervention completion (median of 4 months). Seven randomised trials that directly compared a weight loss intervention to no/minimal intervention reported an improvement of -0.49 SMD units (95% CI, -0.93, -0.04, p = 0.0035, I(2) = 73%). Sub-group analyses showed: (a) disordered eating scores improved more in people with an eating disorder at baseline compared with people without high scores, (b) no clear evidence that the association depended upon intervention type, and (c) disordered eating scores improved more in trials rated at low overall RoB. INTERPRETATION: Despite heterogeneity in effect size, weight loss interventions consistently improved disordered eating scores. These findings provide reassurance that weight loss interventions might not worsen disordered eating and may improve it. FUNDING: Novo Nordisk UK Research Foundation Doctoral Fellowship in Clinical Diabetes.",2025,Feb,EClinicalMedicine,80,,103049,,10.1016/j.eclinm.2024.103049,39981343,#283,Tsompanaki 2025,,ED is a sub-group analysis only,
Serum and plasma levels of brain-derived neurotrophic factor in individuals with eating disorders (EDs): a systematic review and meta-analysis.,Shobeiri P; Bagherieh S; Mirzayi P; Kalantari A; Mirmosayyeb O; Teixeira AL; Rezaei N,"BACKGROUND: Brain-derived neurotrophic factor (BDNF) is essential for neuronal survival, differentiation, development, and plasticity. Evidence suggests that fluctuations in peripheral levels (i.e., plasma or serum) of BDNF are associated with eating behaviors. Nevertheless, the findings are inconsistent. The purpose of this study is to determine if serum or plasma levels of BDNF are altered in individuals with eating disorders (EDs) compared to controls. METHODS: We conducted a systematic search of the core electronic medical databases from inception to March 2022 and identified observational studies that compared individuals with EDs to controls without EDs on serum or plasma levels of BDNF. R version 4.0.4 was used for all visualizations and calculations. RESULTS: The current meta-analysis comprised 15 studies that fulfilled the inclusion criteria. Subjects with EDs (n = 795) showed lower BDNF levels compared to non-EDs controls (n = 552) (SMD: - 0.49, 95% CI [- 0.89; - 0.08], p-value = 0.01). Moreover, subgroup analysis was conducted based on the specimen (plasma and serum), which revealed no statistically significant difference in the levels of BDNF between the two subgroups (p-value = 0.92). Additionally, meta-regression results revealed that publication year, mean age of the individuals with EDs, NOS scores, and the number of individuals with EDs collectively accounted for 25.99% percent of the existing heterogeneity. CONCLUSION: Lower BDNF levels are associated with EDs.",2022,Jul,J Eat Disord,10,1,105,,10.1186/s40337-022-00630-w,35850718,#286,Shobeiri 2022,,,
Association of 5-HTR2A -1438A/G polymorphism with anorexia nervosa and bulimia nervosa: A meta-analysis.,Yan P; Gao B; Wang S; Li J; Song M,"Although a number of studies have been conducted on the association of -1438A/G polymorphism in serotonin 2A receptor (5-HTR2A) gene with anorexia nervosa (AN) and bulimia nervosa (BN), the results remained inconsistent. We thus performed a meta-analysis to clarify the effects of -1438A/G polymorphism on the risk of AN and BN. PubMed, Embase, the Cochrane Library, CNKI, Weipu and Wanfang databases were searched for eligible studies. Pooled odds ratio (OR) and 95 % confidence interval (CI) were calculated to estimate the strength of the association. Subgroup analysis was also performed by ethnicity. In total, 17 studies were included for the meta-analysis, of which 15 studies containing 2028 cases and 2725 controls were used for AN analysis and 7 studies containing 505 cases and 1129 controls for BN analysis. The results showed -1438A/G polymorphism was significantly associated with the risk of AN in four genetic models (allele model, A vs. G: OR = 1.31, 95 % CI = 1.11-1.64, P = 0.003; recessive model, AA vs. GA + GG: OR = 1.69, 95 % CI = 1.28-2.23, P = 0.000; dominant model, AA + GA vs. GG: OR = 1.35, 95 % CI = 1.02-1.79, P = 0.037; co-dominant model, AA vs. GG: OR = 1.94, 95 % CI = 1.29-2.92, P = 0.002) in Caucasians, but not in Asians. We failed to observe a significant association between -1438A/G polymorphism and the risk of BN either in overall or in Caucasian population. The present meta-analysis indicated that A allele and AA genotype of 5-HTR2A -1438A/G polymorphism may contribute to higher risk of AN, especially in Caucasians. However, this polymorphism was not associated with the susceptibility to BN.",2021,Jun,Neurosci Lett,755,,135918,,10.1016/j.neulet.2021.135918,33940056,#287,Yan 2021,,Anorexia; Bulimia; Genetics,
Differences in Alpha Diversity of Gut Microbiota in Neurological Diseases.,Li Z; Zhou J; Liang H; Ye L; Lan L; Lu F; Wang Q; Lei T; Yang X; Cui P; Huang J,"BACKGROUND: Neurological diseases are difficult to diagnose in time, and there is currently a lack of effective predictive methods. Previous studies have indicated that a variety of neurological diseases cause changes in the gut microbiota. Alpha diversity is a major indicator to describe the diversity of the gut microbiota. At present, the relationship between neurological diseases and the alpha diversity of the gut microbiota remains unclear. METHODS: We performed a systematic literature search of Pubmed and Bioproject databases up to January 2021. Six indices were used to measure alpha diversity, including community richness (observed species, Chao1 and ACE), community diversity (Shannon, Simpson), and phylogenetic diversity (PD). Random-effects meta-analyses on the standardized mean difference (SMD) were carried out on the alpha diversity indices. Subgroup analyses were performed to explore the sources of interstudy heterogeneity. Meta-analysis was performed on articles by matching the age, sex, and body mass index (BMI) of the disease group with the control group. Meanwhile, subgroup analysis was performed to control the variability of the sequencing region, platform, geographical region, instrument, and diseases. The area under the curve (AUC) value of the receiver operating characteristic (ROC) curve was calculated to assess the prediction effectiveness of the microbial alpha diversity indices. RESULTS: We conducted a meta-analysis of 24 published studies on 16S rRNA gene amplified sequencing of the gut microbiota and neurological diseases from the Pubmed and Bioproject database (patients, n = 1,469; controls, n = 1,289). The pooled estimate demonstrated that there was no significant difference in the alpha diversity between patients and controls (P < 0.05). Alpha diversity decreased only in Parkinson's disease patients, while it increased in anorexia nervosa patients compared to controls. After adjusting for age, sex, BMI, and geographical region, none of the alpha diversity was associated with neurological diseases. In terms of Illumina HiSeq 2000 and the V3-V5 sequencing region, the results showed that alpha diversity increased significantly in comparison with the controls, while decreased in Illumina HiSeq 2500. ROC curves suggested that alpha diversity could be used as a biomarker to predict the AD (Simpson, AUC= 0.769, P = 0.0001), MS (observed species, AUC= 0.737, P = 0.001), schizophrenia (Chao1, AUC = 0.739, P = 0.002). CONCLUSIONS: Our review summarized the relationship between alpha diversity of the gut microbiota and neurological diseases. The alpha diversity of gut microbiota could be a promising predictor for AD, schizophrenia, and MS, but not for all neurological diseases.",2022,,Front Neurosci,16,,879318,,10.3389/fnins.2022.879318,35837118,#289,Li 2022,,Anorexia; ED is a sub-group analysis only,
The association between disordered eating and psychosis in clinical and non-clinical populations: a systematic review and meta-analysis.,Drymonitou G; McCulloch A; Parry S; Gough R; Moreira Cruz R; Mostoufi M; Jawad M; Newman C; Harding D; Salazar de Pablo G; Jewell T,"BACKGROUND: Eating disorders and psychotic disorders represent two of the most serious psychiatric conditions. Emerging lines of evidence from genetic and epidemiological studies suggest that these disorders may commonly co-occur. This systematic review investigated the association between these disorders across community and clinical populations. METHOD: A systematic review was preregistered (CRD42021231771) and conducted according to PRISMA guidelines. Web of Science, PsycINFO and Medline were searched for articles on the association and comorbidity between psychosis and eating disorders up to the 26th February 2024. A random effects meta-analysis was conducted for studies reporting comorbidity of eating disorders and psychotic disorders based on clinical diagnosis or interview measures, to estimate prevalence of the comorbidity between these disorders. A narrative synthesis was conducted for all other studies and grouped by sample (general population, eating disorders or psychotic disorders). RESULTS: In total 43 studies met inclusion criteria for the systematic review and 16 were included in the meta-analysis. Findings suggest substantial comorbidity between eating disorders and psychotic disorders, with a pooled comorbidity prevalence of 8% (CI: 3, 14) based on clinical diagnosis or interview measures. Studies using self-report questionnaires also highlight the association between eating disorders and psychosis across clinical and community populations. CONCLUSIONS: Eating disorders and psychotic disorders frequently co-occur. Further research should investigate the temporal order of symptom development and consider the need for novel interventions targeted at overlapping psychotic and eating disorder symptoms and associated phenomena.",2025,May,Psychol Med,55,,e160,,10.1017/S003329172500114X,40432425,#292,Drymonitou 2025,,Symptom correlates of ED; psychological comorbidities,
Non-suicidal self-injury among individuals with an eating disorder: A systematic review and prevalence meta-analysis.,Kirkpatrick RH; Breton E; Biorac A; Munoz DP; Booij L,"OBJECTIVE: This study aimed to quantify the prevalence of non-suicidal self-injury across eating disorders (EDs) and within diagnostic categories through systematic review and proportional, or so-called prevalence, meta-analysis. METHOD: Included studies had to contain individuals with a verified diagnosis of an ED. The last literature search was conducted on September 11, 2023, for studies published on or before September 2023 without a restriction on earliest publication year. Results were synthesized and analyzed using the ""metaprop"" package in R and presented using forest plots. Bias was assessed by a Peters' regression test and funnel plot. RESULTS: 79 studies published between 1985 and 2023 were included encompassing 32,334 individuals with an ED. Importantly, 42 studies were not included in any other meta-analyses on self-injury in EDs to date. Overall prevalence of non-suicidal self-injury was 34.59% (95%CI = 30.49-38.81). Prevalence in anorexia nervosa restrictive type, binge/purge type, bulimia nervosa, binge eating disorder and other specified feeding/eating disorder were 23.19% (95%CI = 16.96-30.03%), 41.98% (95%CI = 32.35-51.91%), 36.97% (95%CI = 30.69-43.46%), 21.21% (95%CI = 14.93-28.12%) and 37.65% (95%CI = 28.59-47.09%), respectively. Prevalence estimations could not be estimated for other ED categories due to lack of a sufficient number of studies. DISCUSSION: Non-suicidal self-injury is prevalent across both binge/purge and restrictive EDs. Considering the transdiagnostic nature of self-injurious behaviors in ED, the results highlight the importance of assessment and monitoring of self-injury in people with ED, irrespective of specific diagnoses. The method of determining self-injury varied across studies and may limit this study. PUBLIC SIGNIFICANCE: This study highlights the prevalence of self-injury across eating disorders irrespective of diagnosis and within specific EDs. While diagnoses known to exhibit self-injurious behaviors (e.g., bulimia nervosa, anorexia nervosa binge/purge subtype) demonstrated the highest prevalence of self-injury, all diagnoses were found to have a prevalence greater than 20%. These findings suggest the importance of assessing and monitoring all individuals with an eating disorder for the presence of self-injury.",2024,Feb,Int J Eat Disord,57,2,223-248,,10.1002/eat.24088,38041221,#293,Kirkpatrick 2024,,Symptom correlates of ED,
Prevalence of food addiction determined by the Yale Food Addiction Scale and associated factors: A systematic review with meta-analysis.,Praxedes DRS; Silva-Júnior AE; Macena ML; Oliveira AD; Cardoso KS; Nunes LO; Monteiro MB; Melo ISV; Gearhardt AN; Bueno NB,"OBJECTIVE: To determine, through a systematic review with meta-analysis, the prevalence of food addiction (FA) using the Yale Food Addiction Scale (YFAS) and its derivatives exploring possible factors associated with the prevalence of FA in several contexts. METHODS: The following databases were searched: MEDLINE, ScienceDirect, LILACS, PsycArticles, CENTRAL, Greylit.org, and OpenGrey.eu. Studies that assessed FA using YFAS were included. Two independent reviewers assessed the eligibility of each report. Random-effects meta-analysis was performed to calculate the weighted prevalence of FA. Subgroup analyses and meta-regression were conducted to explore sources of heterogeneity. RESULTS: Of the 6425 abstracts reviewed, 272 studies were included. The weighted mean prevalence of FA diagnosis was 20% (95% CI: 18%; 21%). The prevalence of FA was higher in individuals with clinical diagnosis of binge eating (55%; 95% CI 34%; 75%). The prevalence in clinical samples was higher compared to non-clinical samples. Two studies included children only and no studies included only elderly people. CONCLUSIONS: Food addiction is a topic in which there has been a significant growth in studies. The highest prevalence was found in the group of participants with eating disorders and weight disorders. More studies with children and the elderly are needed.",2022,Mar,Eur Eat Disord Rev,30,2,85-95,,10.1002/erv.2878,34953001,#294,PraxedesDRS 2022,Sasha Gorrell (2025-07-25 06:41:03)(Select): presents subgroup analyses for 'clinical vs. non-clinical'; ,ED is a sub-group analysis only,
An overview and investigation of relapse predictors in anorexia nervosa: A systematic review and meta-analysis.,de Rijk ESJ; Almirabi D; Robinson L; Schmidt U; van Furth EF; Slof-Op 't Landt MCT,"OBJECTIVE: An extensive number of predictors has been examined across the literature to improve knowledge of relapse in anorexia nervosa (AN). These studies provide various recovery and relapse definitions, follow-up durations and relapse rates. The current study summarizes these values and predictors of relapse in AN in a review and meta-analysis. METHOD: The study was executed according to PRISMA guidelines. Different databases were searched and studies in which participants did not receive an official clinical diagnosis were excluded. A quality analysis was performed using the National Institute of Health's Study Quality Assessment Tool. Random-effects meta-analyses were conducted to summarize data. RESULTS: Definitions of relapse and recovery were diverse. During an average follow-up period of 31 months an average relapse rate of 37% was found. Predictive variables from 28 studies were grouped in six categories: age and sex, symptoms and behaviors, AN subtype and duration, weight or weight change, comorbidity, and personality. The studies were characterized by non-significant and contradictory results. Meta-analyses were performed for the predictors age, AN duration, pre-treatment BMI, post-treatment BMI and depression. These yielded significant effects for post-treatment BMI and depression: higher pre-treatment depression (SMD = .40 CI [.21-.59] and lower post-treatment BMI (SMD = -.35 CI [-.63 to -.07]) increased relapse chances in AN. DISCUSSION: Our results emphasized a lack of sufficiently powered studies, consistent results, and robust findings. Solely post-treatment BMI and pre-treatment depression predicted relapse. Future research should use uniform definitions, larger samples and better designs, to improve our understanding of relapse in AN. PUBLIC SIGNIFICANCE: Knowledge about predictors is important to understand high relapse rates. Our study performed a review and meta-analysis of relapse predictors in AN. Related to the heterogeneity in studies examining predictors, an overview of relapse and recovery definitions, follow-up durations and relapse rates for AN was provided. Significant effects were found for post-treatment BMI and pre-treatment depression. More studies with uniform definitions are needed to improve clinical implications.",2024,Jan,Int J Eat Disord,57,1,Mar-26,,10.1002/eat.24059,37855175,#295,deRijkESJ 2024,,Anorexia; Longer term outcomes,
Investigating the Presence of Autistic Traits and Prevalence of Autism Spectrum Disorder Symptoms in Anorexia Nervosa: A Systematic Review and Meta-Analysis.,Inal-Kaleli I; Dogan N; Kose S; Bora E,"OBJECTIVE: The present meta-analysis aims to assess whether individuals with anorexia nervosa (AN) demonstrate elevated autistic traits, to explore potential associations between autistic traits and eating disorder symptoms; as well as to estimate the prevalence of a positive screen for autism spectrum disorder (ASD) assessed via Autism Diagnostic Observation Schedule (ADOS), in AN. METHOD: A systematic literature search was conducted in PsycINFO, MEDLINE, and Web of Science in August 2023 and later updated in April 2024 to identify relevant studies. Twenty-two studies with 1172 AN patients and 2747 healthy controls (HCs) met the inclusion criteria. RESULTS: There was a significant difference between AN and HC groups in autistic traits (g = 0.88, CI = 0.65-1.12), and a significant but modest correlation was found between autistic traits and severity of eating disorder symptoms (r = 0.28, CI = 0.11-0.44). Proportion meta-analysis indicated that 29% (CI = 0.19-0.38) of children and adults scored above the cut-off for ASD. DISCUSSION: The current findings suggest that AN frequently overlaps with both autistic traits and autistic symptomatology. Therefore, it is essential to evaluate autism and autistic traits in individuals with AN to tailor individualized treatment plans.",2025,Jan,Int J Eat Disord,58,1,66-90,,10.1002/eat.24307,39530423,#298,Inal-Kaleli 2025,,psychological comorbidities,
Third-wave interventions for eating disorders in adolescence - systematic review with meta-analysis.,Buerger A; Vloet TD; Haber L; Geissler JM,"CONTEXT: Third-wave therapies have demonstrated efficacy as a treatment option for EDs in adulthood. Data on the suitability for EDs in adolescence are lacking. OBJECTIVE: To estimate the efficacy of third-wave interventions to reduce ED symptoms in adolescents in randomized controlled trials (RCTs) and uncontrolled studies. DATA SOURCES: We systematically reviewed the databases PubMed (1976-January 2021), PsycINFO (1943-January 2021), and the Cochrane database (1995-January 2021) for English-language articles on third-wave therapies. References were screened for further publications of interest. STUDY SELECTION: RCTs and pre-post studies without control group, comprising patients aged 11-21 years (mean age = 15.6 years) with an ED diagnosis (anorexia nervosa, bulimia nervosa, binge eating disorder, eating disorder not otherwise specified) investigating the efficacy of third-wave psychological interventions were included. Efficacy had to be evaluated according to the Eating Disorder Examination or Eating Disorder Examination-Questionnaire, the Eating Disorder Inventory-2, the Eating Disorder Inventory-3, or the Structured Interview for Anorexic and Bulimic Disorders for DSM-IV and ICD-10. The outcome assessed in the meta-analysis was the EDE total score. DATA EXTRACTION: Independent extraction of data by two authors according to a pre-specified data extraction sheet and quality indicators. DATA SYNTHESIS: We identified 1000 studies after removal of duplicates, assessed the full texts of 48 articles for eligibility, and included 12 studies with a total of 487 participants (female 97.3%/male 2.6%) in the qualitative synthesis and seven studies in the meta-analysis. Articles predominantly reported uncontrolled pre-post trials of low quality, with only two published RCTs. Treatments focused strongly on dialectical behaviour therapy (n = 11). We found moderate effects of third-wave therapies on EDE total score interview/questionnaire for all EDs (d = - 0.67; z = - 5.53; CI95% = - 0.83 to - 0.59). Descriptively, the effects appeared to be stronger in patients with BN and BED. CONCLUSION: At this stage, it is not feasible to draw conclusions regarding the efficacy of third-wave interventions for the treatment of EDs in adolescence due to the low quality of the empirical evidence. Since almost all of the identified studies used DBT, it is unfortunately not possible to assess other third-wave treatments' efficacy.",2021,Jun,Borderline Personal Disord Emot Dysregul,8,1,20,,10.1186/s40479-021-00158-6,34127069,#300,Buerger 2021,,Adolescents; Psychotherapy,
The prevalence of substance use disorders and substance use in anorexia nervosa: a systematic review and meta-analysis.,Devoe DJ; Dimitropoulos G; Anderson A; Bahji A; Flanagan J; Soumbasis A; Patten SB; Lange T; Paslakis G,"AIM: Individuals with anorexia nervosa (AN) often present with substance use and substance use disorders (SUDs). However, the prevalence of substance use and SUDs in AN has not been studied in-depth, especially the differences in the prevalence of SUDs between AN types [e.g., AN-R (restrictive type) and AN-BP (binge-eating/purge type]. Therefore, this systematic review and meta-analysis aimed to assess the prevalence of SUDs and substance use in AN samples. METHOD: Systematic database searches of the peer-reviewed literature were conducted in the following online databases: MEDLINE, PsycINFO, Embase, and CINAHL from inception to January 2021. We restricted review eligibility to peer-reviewed research studies reporting the prevalence for either SUDs or substance use in individuals with AN. Random-effects meta-analyses using Freeman-Tukey double arcsine transformations were performed on eligible studies to estimate pooled proportions and 95% confidence intervals (CIs). RESULTS: Fifty-two studies met the inclusion criteria, including 14,695 individuals identified as having AN (mean age: 22.82 years). Random pooled estimates showed that substance use disorders had a 16% prevalence in those with AN (AN-BP = 18% vs. AN-R = 7%). Drug abuse/dependence disorders had a prevalence of 7% in AN (AN-BP = 9% vs. AN-R = 5%). In studies that looked at specific abuse/dependence disorders, there was a 10% prevalence of alcohol abuse/dependence in AN (AN-BP = 15% vs. AN-R = 3%) and a 6% prevalence of cannabis abuse/dependence (AN-BP = 4% vs. AN-R = 0%). In addition, in terms of substance use, there was a 37% prevalence for caffeine use, 29% prevalence for alcohol use, 25% for tobacco use, and 14% for cannabis use in individuals with AN. CONCLUSION: This is the most comprehensive meta-analysis on the comorbid prevalence of SUDs and substance use in persons with AN, with an overall pooled prevalence of 16%. Comorbid SUDs, including drugs, alcohol, and cannabis, were all more common in AN-BP compared to AN-R throughout. Therefore, clinicians should be aware of the high prevalence of SUD comorbidity and substance use in individuals with AN. Finally, clinicians should consider screening for SUDs and integrating treatments that target SUDs in individuals with AN. Individuals with anorexia nervosa (AN) may also present with substance use or have a substance use disorder (SUDs). Thus, we conducted a systematic review and meta-analysis to determine the prevalence of substance use and substance use disorders in individuals with AN. We examined published studies that reported the prevalence of either substance use or SUDs in individuals with AN. We found that substance use disorders had a 16% prevalence and that drug abuse/dependence disorders had a prevalence of 7% in those with AN. These rates were much higher in individuals with binge-eating/purging type compared to the restrictive AN. However, many specific substance use disorders and substance use types were low in individuals with AN. Nonetheless, clinicians should be aware of the high prevalence of SUD comorbidity and substance use in individuals with AN.",2021,Dec,J Eat Disord,9,1,161,,10.1186/s40337-021-00516-3,34895358,#301,Devoe 2021,,Anorexia; Prevalence rates; psychological comorbidities,
